Date,Nifty 50,Nifty Midcap,Gold ETF,Debt MF,REIT,SGB (proxy)
2019-01-02,0.0,0.0,3.9215110251968006e-05,-0.0114847739514061,0.0,3.9215110251968006e-05
2019-01-03,-0.0111419967570072,-0.0072568472724238,6.4337492257096e-05,-0.013692942675627,0.0,6.4337492257096e-05
2019-01-04,0.0051628859308019,0.0016206333307737,-6.0589243118156e-05,0.0100967507991687,0.0,-6.0589243118156e-05
2019-01-07,0.0041436325775803,-0.0004653992727652,-2.5973453492655e-05,0.0041649471268823,0.0,-2.5973453492655e-05
2019-01-08,0.0028175965472634,-0.0006316304454333,-2.143566661105e-05,0.0004147751401359,0.0,-2.143566661105e-05
2019-01-09,0.0049064304868406,-0.0002022353816689,6.1071185808903e-05,-0.0078773021329486,0.0,6.1071185808903e-05
2019-01-10,-0.0030907707440862,0.0041432420916991,8.575664410036699e-05,-0.0025072906467704,0.0,8.575664410036699e-05
2019-01-11,-0.0024626132017869,-0.0032609379944701,-1.5745853790940998e-05,0.0041892949562336,0.0,-1.5745853790940998e-05
2019-01-14,-0.0053127235327499,-0.0069548160767268,2.6634966203953e-05,-0.0066750042551302,0.0,2.6634966203953e-05
2019-01-15,0.0138951162960325,0.00718702244342,3.844697424246e-06,0.0083998642345848,0.0,3.844697424246e-06
2019-01-16,0.000321490250835,0.0005431127648978,3.2318499828765e-05,0.0016659311868976,0.0,3.2318499828765e-05
2019-01-17,0.001368225934293,-0.0006131180207107,3.4652919133291e-05,-0.0004157306382694,0.0,3.4652919133291e-05
2019-01-18,0.0001604738994844,-0.0108297508582151,-5.7265473831794996e-05,-0.0016639315309471,0.0,-5.7265473831794996e-05
2019-01-21,0.0050334340103701,-0.0032159188983047,-2.2863815191183997e-05,-0.009583314259847,0.0,-2.2863815191183997e-05
2019-01-22,-0.003566880660501,0.0039655999183347,5.0554997903968e-05,-0.0067311671994457,0.0,5.0554997903968e-05
2019-01-23,-0.0083541232748163,-0.0060771368951825,1.566938032446e-06,-0.0046590685094406,0.0,1.566938032446e-06
2019-01-24,0.0016894986555417,-0.0011535268930732,-5.0467415417356e-05,-0.0046808770362366,0.0,-5.0467415417356e-05
2019-01-25,-0.0063826062458849,-0.0133773444940541,2.9034748086729e-05,-0.0064129808655171,0.0,2.9034748086729e-05
2019-01-28,-0.0110383980553809,-0.0184678898969192,0.000109175158796026,0.0008606049036423,0.0,0.000109175158796026
2019-01-29,-0.0008769465552643,0.0010124972421281,6.3659014962444e-05,-0.0012897973495398,0.0,6.3659014962444e-05
2019-01-30,-3.758759858607519e-05,-0.0001004000464637,2.3656956345801e-05,0.0004304876917304,0.0,2.3656956345801e-05
2019-01-31,0.0168187906184795,0.006040590405631,3.8479695179123e-05,0.006454372633716,0.0,3.8479695179123e-05
2019-02-01,0.0057889838086075,0.0102652879195959,4.0547691158274e-05,0.0008550858608624,0.0,4.0547691158274e-05
2019-02-04,0.0017073807867935,-0.0089458347390296,-6.789882647650902e-07,-0.0046988727496178,0.0,-6.789882647650902e-07
