Date,Nifty 50,Nifty Midcap,Gold ETF,Debt MF,REIT,SGB (proxy)
2019-01-02,0.0,0.0,0.003921511025196889,-0.011484773951406124,0.0,0.003921511025196889
2019-01-03,-0.011141996757007222,-0.0072568472724238164,0.006433749225709606,-0.01369294267562704,0.0,0.006433749225709606
2019-01-04,0.0051628859308019415,0.0016206333307737797,-0.00605892431181565,0.010096750799168719,0.0,-0.00605892431181565
2019-01-07,0.004143632577580325,-0.0004653992727652323,-0.0025973453492655896,0.004164947126882312,0.0,-0.0025973453492655896
2019-01-08,0.0028175965472634346,-0.000631630445433351,-0.0021435666611050452,0.00041477514013599226,0.0,-0.0021435666611050452
2019-01-09,0.004906430486840696,-0.00020223538166896926,0.006107118580890303,-0.007877302132948683,0.0,0.006107118580890303
2019-01-10,-0.0030907707440862575,0.00414324209169914,0.008575664410036765,-0.002507290646770466,0.0,0.008575664410036765
2019-01-11,-0.0024626132017869784,-0.0032609379944701367,-0.0015745853790941622,0.004189294956233658,0.0,-0.0015745853790941622
2019-01-14,-0.005312723532749919,-0.006954816076726877,0.0026634966203953336,-0.006675004255130235,0.0,0.0026634966203953336
2019-01-15,0.013895116296032572,0.007187022443420066,0.0003844697424246757,0.00839986423458483,0.0,0.0003844697424246757
2019-01-16,0.0003214902508350548,0.000543112764897824,0.0032318499828765113,0.0016659311868976179,0.0,0.0032318499828765113
2019-01-17,0.001368225934293088,-0.0006131180207107345,0.003465291913329116,-0.00041573063826949586,0.0,0.003465291913329116
2019-01-18,0.0001604738994844812,-0.010829750858215137,-0.00572654738317957,-0.001663931530947127,0.0,-0.00572654738317957
2019-01-21,0.0050334340103701525,-0.003215918898304748,-0.002286381519118419,-0.009583314259847042,0.0,-0.002286381519118419
2019-01-22,-0.0035668806605010372,0.003965599918334783,0.005055499790396878,-0.006731167199445776,0.0,0.005055499790396878
2019-01-23,-0.008354123274816327,-0.006077136895182522,0.00015669380324467852,-0.004659068509440645,0.0,0.00015669380324467852
2019-01-24,0.001689498655541799,-0.0011535268930732423,-0.005046741541735678,-0.0046808770362366525,0.0,-0.005046741541735678
2019-01-25,-0.006382606245884936,-0.013377344494054144,0.0029034748086729234,-0.006412980865517115,0.0,0.0029034748086729234
2019-01-28,-0.011038398055380982,-0.018467889896919276,0.010917515879602657,0.0008606049036423702,0.0,0.010917515879602657
2019-01-29,-0.0008769465552643796,0.001012497242128152,0.006365901496244497,-0.001289797349539823,0.0,0.006365901496244497
2019-01-30,-3.758759858607519e-05,-0.00010040004646372225,0.0023656956345801117,0.0004304876917304856,0.0,0.0023656956345801117
2019-01-31,0.016818790618479573,0.006040590405631097,0.0038479695179123308,0.006454372633716066,0.0,0.0038479695179123308
2019-02-01,0.005788983808607595,0.010265287919595911,0.004054769115827472,0.0008550858608624701,0.0,0.004054769115827472
2019-02-04,0.0017073807867935553,-0.008945834739029657,-6.789882647650902e-05,-0.004698872749617888,0.0,-6.789882647650902e-05
2019-02-05,0.0020252110586724825,-0.007162911649979065,0.0013405264801396033,-0.0154505886176306,0.0,0.0013405264801396033
2019-02-06,0.011715428033110209,0.009169323390694206,0.0045755035662344845,0.019180410482368737,0.0,0.0045755035662344845
2019-02-07,0.0006282690714798367,0.011875079686896495,-0.01167337284625325,0.010265256077063523,0.0,-0.01167337284625325
2019-02-08,-0.011364733121095205,-0.015564200643026993,-0.002730931999643471,-0.0190516827667504,0.0,-0.002730931999643471
2019-02-11,-0.005007475295473629,-0.011176992776864014,0.0029780205072291732,-0.019853301264851186,0.0,0.0029780205072291732
