,Nifty 50,Nifty Midcap,Gold ETF,Debt MF,REIT,SGB (proxy)
Nifty 50,0.033679527017761376,0.02966557678474768,-0.023184133784913928,0.0267345915791106,0.00960221703926921,-0.023184133784913928
Nifty Midcap,0.02966557678474768,0.03661912975381057,-0.018414180377481437,0.03174738069934646,0.009828735356117117,-0.018414180377481437
Gold ETF,-0.023184133784913928,-0.018414180377481437,1670.1360712855706,-0.09760695018545851,-0.0007488039781340464,1670.1360712855706
Debt MF,0.0267345915791106,0.03174738069934646,-0.09760695018545851,0.05639366016473235,0.010348562165908692,-0.09760695018545851
REIT,0.00960221703926921,0.009828735356117117,-0.0007488039781340464,0.010348562165908692,0.053199412280549065,-0.0007488039781340464
SGB (proxy),-0.023184133784913928,-0.018414180377481437,1670.1360712855706,-0.09760695018545851,-0.0007488039781340464,1670.1360712855706
